ID,commune_ID,localite,localite_ID,source
0,10101,zango,bureau_10101001,voting_lists
1,10101,medersa,bureau_10101002,voting_lists
2,10101,tadeini,bureau_10101003,voting_lists
3,10101,centre,bureau_10101004,voting_lists
4,10101,eghazarmidaran,bureau_10101005,voting_lists
5,10101,ch‹?teau,bureau_10101006,voting_lists
6,10101,bourgoutan,bureau_10101007,voting_lists
7,10101,tourouf,bureau_10101008,voting_lists
8,10101,tchigal,bureau_10101009,voting_lists
9,10101,goda ecole,bureau_10101010,voting_lists
10,10101,agalin garan,bureau_10101011,voting_lists
11,10101,marandat,bureau_10101012,voting_lists
12,10101,imerine,bureau_10101013,voting_lists
13,10101,libilibene,bureau_10101014,voting_lists
14,10101,intarakat,bureau_10101015,voting_lists
15,10101,tiguidit,bureau_10101016,voting_lists
16,10101,tadibene,bureau_10101017,voting_lists
17,10101,emisdenine i,bureau_10101018,voting_lists
18,10101,intalate,bureau_10101019,voting_lists
19,10101,tambakane,bureau_10101020,voting_lists
20,10101,emisdenine ii,bureau_10101021,voting_lists
21,10101,zargaw,bureau_10101022,voting_lists
22,10101,tilia,bureau_10101023,voting_lists
23,10101,soukoumour,bureau_10101024,voting_lists
24,10101,tegigalt moussa,bureau_10101025,voting_lists
25,10101,amazegri,bureau_10101026,voting_lists
26,10101,ekawel,bureau_10101027,voting_lists
27,10101,kouri,bureau_10101028,voting_lists
28,10101,garmaga,bureau_10101029,voting_lists
29,10101,adakara,bureau_10101030,voting_lists
30,10101,yakaye,bureau_10101031,voting_lists
31,10101,ezawzaw,bureau_10101032,voting_lists
32,10101,inkadewan ouest,bureau_10101033,voting_lists
33,10101,wadata,bureau_10101034,voting_lists
34,10101,eridalane,bureau_10101035,voting_lists
35,10101,fouta 1,bureau_10101036,voting_lists
36,10101,tetoukounout,bureau_10101037,voting_lists
37,10101,kokari,bureau_10101038,voting_lists
38,10101,mama,bureau_10101039,voting_lists
39,10101,tchinagrof mota,bureau_10101040,voting_lists
40,10101,tchinikli,bureau_10101041,voting_lists
41,10101,tchintaborak sud 1,bureau_10101042,voting_lists
42,10101,guermawan,bureau_10101043,voting_lists
43,10101,toudoun fedou,bureau_10101044,voting_lists
44,10101,imboragan,bureau_10101045,voting_lists
45,10101,eguef,bureau_10101046,voting_lists
46,10101,kirfichi 1,bureau_10101047,voting_lists
47,10101,tchougas,bureau_10101048,voting_lists
48,10101,iknawane,bureau_10101049,voting_lists
49,10101,bago,bureau_10101050,voting_lists
50,10101,tchinagrof ekoudou,bureau_10101051,voting_lists
51,10101,tougbalana,bureau_10101052,voting_lists
52,10101,intirza azara,bureau_10101053,voting_lists
53,10101,akoual,bureau_10101054,voting_lists
54,10101,abalama1,bureau_10101055,voting_lists
55,10101,kiririya1,bureau_10101056,voting_lists
56,10101,aniele,bureau_10101057,voting_lists
57,10101,tchinbilgan 1,bureau_10101058,voting_lists
58,10101,banka,bureau_10101059,voting_lists
59,10101,tagdofat 1,bureau_10101060,voting_lists
60,10101,hambobila,bureau_10101061,voting_lists
61,10101,tebirguit,bureau_10101062,voting_lists
62,10101,inkadewan est,bureau_10101063,voting_lists
63,10101,tchinabro,bureau_10101064,voting_lists
64,10101,inguirfane,bureau_10101065,voting_lists
65,10101,galadima,bureau_10101066,voting_lists
66,10101,maigiga1,bureau_10101067,voting_lists
67,10101,inzagnane,bureau_10101068,voting_lists
68,10101,toumboulaga,bureau_10101069,voting_lists
69,10101,noussa aghouza,bureau_10101070,voting_lists
70,10101,gabdouane,bureau_10101071,voting_lists
71,10101,effartay,bureau_10101072,voting_lists
72,10101,attambo,bureau_10101073,voting_lists
73,10101,echkar tagaza,bureau_10101074,voting_lists
74,10101,maigawaye,bureau_10101075,voting_lists
75,10101,karnagan,bureau_10101076,voting_lists
76,10101,kampama,bureau_10101077,voting_lists
77,10101,yoga kelourou echkar,bureau_10101078,voting_lists
78,10101,egalgawane,bureau_10101079,voting_lists
79,10101,tabalbal,bureau_10101080,voting_lists
80,10101,tchilili,bureau_10101081,voting_lists
81,10101,sabon kare,bureau_10101082,voting_lists
82,10101,bori,bureau_10101083,voting_lists
83,10101,tchintaborak sud2,bureau_10101084,voting_lists
84,10101,abalama2,bureau_10101085,voting_lists
85,10101,takoukout,bureau_10101086,voting_lists
86,10101,bouka,bureau_10101087,voting_lists
87,10101,madina,bureau_10101088,voting_lists
88,10101,echia,bureau_10101089,voting_lists
89,10101,djam da jam,bureau_10101090,voting_lists
90,10201,tamesna a,bureau_10201001,voting_lists
91,10201,tamesna b,bureau_10201002,voting_lists
92,10201,tamesna c,bureau_10201003,voting_lists
93,10201,tamesna d,bureau_10201004,voting_lists
94,10201,tchingalene,bureau_10201005,voting_lists
95,10201,sahel a,bureau_10201006,voting_lists
96,10201,sahel b,bureau_10201007,voting_lists
97,10201,zango a,bureau_10201008,voting_lists
98,10201,zango b,bureau_10201009,voting_lists
99,10201,zango c,bureau_10201010,voting_lists
100,10201,wadata a,bureau_10201011,voting_lists
101,10201,wadata b,bureau_10201012,voting_lists
102,10201,wadata c,bureau_10201013,voting_lists
103,10201,carre sntn a,bureau_10201014,voting_lists
104,10201,carre sntn b,bureau_10201015,voting_lists
105,10201,carre sntn c,bureau_10201016,voting_lists
106,10201,carre sntn d,bureau_10201017,voting_lists
107,10201,carre sntn e,bureau_10201018,voting_lists
108,10201,carre nouveau marche a,bureau_10201019,voting_lists
109,10201,carre nouveau marche b,bureau_10201020,voting_lists
110,10201,carre nouveau marche c,bureau_10201021,voting_lists
111,10201,carre nouveau marche d,bureau_10201022,voting_lists
112,10201,carre nouveau marche e,bureau_10201023,voting_lists
113,10201,boukoki 1 a,bureau_10201024,voting_lists
114,10201,boukoki 1 b,bureau_10201025,voting_lists
115,10201,boukoki 1 c,bureau_10201026,voting_lists
116,10201,boukoki 1 d,bureau_10201027,voting_lists
117,10201,cite somair areva a,bureau_10201028,voting_lists
118,10201,cite somair areva b,bureau_10201029,voting_lists
119,10201,cite somair areva c,bureau_10201030,voting_lists
120,10201,cite somair areva d,bureau_10201031,voting_lists
121,10201,cite somair areva e,bureau_10201032,voting_lists
122,10201,cite somair areva f,bureau_10201033,voting_lists
123,10201,boukoki 2 a,bureau_10201034,voting_lists
124,10201,boukoki 2 b,bureau_10201035,voting_lists
125,10201,boukoki 2 c,bureau_10201036,voting_lists
126,10201,boukoki 2 d,bureau_10201037,voting_lists
127,10201,boukoki 2 e,bureau_10201038,voting_lists
