"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"6","10101","abalamawa","RENACOM_6","RENACOM","54","10101","abalama1","bureau_10101055","voting_lists"
"6","10101","abalamawa","RENACOM_6","RENACOM","84","10101","abalama2","bureau_10101085","voting_lists"
"16","10101","baggo","RENACOM_16","RENACOM","49","10101","bago","bureau_10101050","voting_lists"
"18","10101","tchintaborak","RENACOM_18","RENACOM","41","10101","tchintaborak sud 1","bureau_10101042","voting_lists"
"18","10101","tchintaborak","RENACOM_18","RENACOM","83","10101","tchintaborak sud2","bureau_10101084","voting_lists"
"19","10101","bori","RENACOM_19","RENACOM","82","10101","bori","bureau_10101083","voting_lists"
"26","10101","fouta","RENACOM_26","RENACOM","35","10101","fouta 1","bureau_10101036","voting_lists"
"36","10101","tougbala (va)","RENACOM_36","RENACOM","51","10101","tougbalana","bureau_10101052","voting_lists"
"42","10101","marandat","RENACOM_42","RENACOM","11","10101","marandat","bureau_10101012","voting_lists"
"43","10101","tadi ben mohamed","RENACOM_43","RENACOM","16","10101","tadibene","bureau_10101017","voting_lists"
"50","10101","tagdo fat","RENACOM_50","RENACOM","59","10101","tagdofat 1","bureau_10101060","voting_lists"
"53","10101","ingharane","RENACOM_53","RENACOM","64","10101","inguirfane","bureau_10101065","voting_lists"
"59","10101","atambo ii (pe)","RENACOM_59","RENACOM","72","10101","attambo","bureau_10101073","voting_lists"
"60","10101","efartaye (pe)","RENACOM_60","RENACOM","71","10101","effartay","bureau_10101072","voting_lists"
"71","10101","kiriria","RENACOM_71","RENACOM","55","10101","kiririya1","bureau_10101056","voting_lists"
"75","10101","echia (va)","RENACOM_75","RENACOM","88","10101","echia","bureau_10101089","voting_lists"
"85","10101","akowel","RENACOM_85","RENACOM","53","10101","akoual","bureau_10101054","voting_lists"
"90","10101","marandatte (va)","RENACOM_90","RENACOM","11","10101","marandat","bureau_10101012","voting_lists"
"98","10101","ekawel","RENACOM_98","RENACOM","26","10101","ekawel","bureau_10101027","voting_lists"
"101","10101","ekawel","RENACOM_101","RENACOM","26","10101","ekawel","bureau_10101027","voting_lists"
"111","10101","hambobila (pe)","RENACOM_111","RENACOM","60","10101","hambobila","bureau_10101061","voting_lists"
"112","10101","adakara","RENACOM_112","RENACOM","29","10101","adakara","bureau_10101030","voting_lists"
"121","10101","intirza","RENACOM_121","RENACOM","52","10101","intirza azara","bureau_10101053","voting_lists"
"128","10101","tabal bal (pe)","RENACOM_128","RENACOM","79","10101","tabalbal","bureau_10101080","voting_lists"
"141","10101","intarakat","RENACOM_141","RENACOM","14","10101","intarakat","bureau_10101015","voting_lists"
"146","10101","intarakat (pe)","RENACOM_146","RENACOM","14","10101","intarakat","bureau_10101015","voting_lists"
"148","10601","nassarawa","RENACOM_148","RENACOM","481","10601","nassaraoua","bureau_10601013","voting_lists"
"148","10601","nassarawa","RENACOM_148","RENACOM","482","10601","nassaraoua","bureau_10601014","voting_lists"
"148","10601","nassarawa","RENACOM_148","RENACOM","483","10601","nassaraoua","bureau_10601015","voting_lists"
"148","10601","nassarawa","RENACOM_148","RENACOM","485","10601","nassaraoua","bureau_10601017","voting_lists"
"148","10601","nassarawa","RENACOM_148","RENACOM","486","10601","nassaraoua","bureau_10601018","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","469","10601","dagamanet","bureau_10601001","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","470","10601","dagamanet","bureau_10601002","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","471","10601","dagamanet","bureau_10601003","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","510","10601","dagamanet","bureau_10601042","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","511","10601","dagamanet","bureau_10601043","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","512","10601","dagamanet","bureau_10601044","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","513","10601","dagamanet","bureau_10601045","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","514","10601","dagamanet","bureau_10601046","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","515","10601","dagamanet","bureau_10601047","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","516","10601","dagamanet","bureau_10601048","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","517","10601","dagamanet","bureau_10601049","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","518","10601","dagamanet","bureau_10601050","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","519","10601","dagamanet","bureau_10601051","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","520","10601","dagamanet","bureau_10601052","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","521","10601","dagamanet","bureau_10601053","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","522","10601","dagamanet","bureau_10601054","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","523","10601","dagamanet","bureau_10601055","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","524","10601","dagamanet","bureau_10601056","voting_lists"
"149","10601","dagamanett","RENACOM_149","RENACOM","525","10601","dagamanet","bureau_10601057","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","552","10601","sabon gari","bureau_10601084","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","553","10601","sabon gari","bureau_10601085","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","554","10601","sabon gari","bureau_10601086","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","555","10601","sabon gari","bureau_10601087","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","556","10601","sabon gari","bureau_10601088","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","557","10601","sabon gari","bureau_10601089","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","558","10601","sabon gari","bureau_10601090","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","559","10601","sabon gari","bureau_10601091","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","560","10601","sabon gari","bureau_10601092","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","561","10601","sabon gari","bureau_10601093","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","562","10601","sabon gari","bureau_10601094","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","563","10601","sabon gari","bureau_10601095","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","564","10601","sabon gari","bureau_10601096","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","565","10601","sabon gari","bureau_10601097","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","566","10601","sabon gari","bureau_10601098","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","567","10601","sabon gari","bureau_10601099","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","568","10601","sabon gari","bureau_10601100","voting_lists"
"150","10601","sabon gari","RENACOM_150","RENACOM","569","10601","sabon gari","bureau_10601101","voting_lists"
"151","10601","oumourdan magass","RENACOM_151","RENACOM","529","10601","oumour dan magass","bureau_10601061","voting_lists"
