ID,commune_ID,localite,localite_ID,source
0,10101,alkass,RENACOM_0,RENACOM
1,10101,echit,RENACOM_1,RENACOM
2,10101,mohamed amagano,RENACOM_2,RENACOM
3,10101,bazo (vt),RENACOM_3,RENACOM
4,10101,ibakan (va),RENACOM_4,RENACOM
5,10101,oumougaz,RENACOM_5,RENACOM
6,10101,abalamawa,RENACOM_6,RENACOM
7,10101,errwak,RENACOM_7,RENACOM
8,10101,bismillaghali,RENACOM_8,RENACOM
9,10101,ichim,RENACOM_9,RENACOM
10,10101,inna tane,RENACOM_10,RENACOM
11,10101,hamadou moussa,RENACOM_11,RENACOM
12,10101,irrayen,RENACOM_12,RENACOM
13,10101,tegiaguelt (pe),RENACOM_13,RENACOM
14,10101,emilfi (pe),RENACOM_14,RENACOM
15,10101,egarao (pe),RENACOM_15,RENACOM
16,10101,baggo,RENACOM_16,RENACOM
17,10101,tekinziguite,RENACOM_17,RENACOM
18,10101,tchintaborak,RENACOM_18,RENACOM
19,10101,bori,RENACOM_19,RENACOM
20,10101,iblichi,RENACOM_20,RENACOM
21,10101,awirtiki,RENACOM_21,RENACOM
22,10101,jadri,RENACOM_22,RENACOM
23,10101,kordab,RENACOM_23,RENACOM
24,10101,sabo,RENACOM_24,RENACOM
25,10101,lafia,RENACOM_25,RENACOM
26,10101,fouta,RENACOM_26,RENACOM
27,10101,angha,RENACOM_27,RENACOM
28,10101,boulla,RENACOM_28,RENACOM
29,10101,absseck,RENACOM_29,RENACOM
30,10101,tchiral,RENACOM_30,RENACOM
31,10101,tchizoum i,RENACOM_31,RENACOM
32,10101,abrane,RENACOM_32,RENACOM
33,10101,koullou,RENACOM_33,RENACOM
34,10101,ouka mousse (pe),RENACOM_34,RENACOM
35,10101,lag lag (va),RENACOM_35,RENACOM
36,10101,tougbala (va),RENACOM_36,RENACOM
37,10101,koudombou,RENACOM_37,RENACOM
38,10101,ismaila,RENACOM_38,RENACOM
39,10101,jama,RENACOM_39,RENACOM
40,10101,azaouzaou,RENACOM_40,RENACOM
41,10101,liou smaila,RENACOM_41,RENACOM
42,10101,marandat,RENACOM_42,RENACOM
43,10101,tadi ben mohamed,RENACOM_43,RENACOM
44,10101,tounkou,RENACOM_44,RENACOM
45,10101,boule,RENACOM_45,RENACOM
46,10101,amezigri (va),RENACOM_46,RENACOM
47,10101,wirzabem (va),RENACOM_47,RENACOM
48,10101,ibatan (pe),RENACOM_48,RENACOM
49,10101,bilal (pe),RENACOM_49,RENACOM
50,10101,tagdo fat,RENACOM_50,RENACOM
51,10101,tegatemt,RENACOM_51,RENACOM
52,10101,badi,RENACOM_52,RENACOM
53,10101,ingharane,RENACOM_53,RENACOM
54,10101,maidjiga,RENACOM_54,RENACOM
55,10101,sabo ii,RENACOM_55,RENACOM
56,10101,atabbo (pe),RENACOM_56,RENACOM
57,10101,akadanaye (pe),RENACOM_57,RENACOM
58,10101,tassakamart (pe),RENACOM_58,RENACOM
59,10101,atambo ii (pe),RENACOM_59,RENACOM
60,10101,efartaye (pe),RENACOM_60,RENACOM
61,10101,emislag (pe),RENACOM_61,RENACOM
62,10101,arabe (pe),RENACOM_62,RENACOM
63,10101,zaidari,RENACOM_63,RENACOM
64,10101,abalatwaye,RENACOM_64,RENACOM
65,10101,angajane,RENACOM_65,RENACOM
66,10101,akasamsam (va),RENACOM_66,RENACOM
67,10101,torouf (va),RENACOM_67,RENACOM
68,10101,fidouk tambalag hane,RENACOM_68,RENACOM
69,10101,kouzoub zoubi,RENACOM_69,RENACOM
70,10101,fidouk,RENACOM_70,RENACOM
71,10101,kiriria,RENACOM_71,RENACOM
72,10101,alal,RENACOM_72,RENACOM
73,10101,adarbisnat,RENACOM_73,RENACOM
74,10101,tanko (va),RENACOM_74,RENACOM
75,10101,echia (va),RENACOM_75,RENACOM
76,10101,toumbowaga (va),RENACOM_76,RENACOM
77,10101,afla,RENACOM_77,RENACOM
78,10101,dangana,RENACOM_78,RENACOM
79,10101,tagouazi (va),RENACOM_79,RENACOM
80,10101,tagouaji (va),RENACOM_80,RENACOM
81,10101,tateye (va),RENACOM_81,RENACOM
82,10101,largalakhi (va),RENACOM_82,RENACOM
83,10101,yaffigah,RENACOM_83,RENACOM
84,10101,migiyawa,RENACOM_84,RENACOM
85,10101,akowel,RENACOM_85,RENACOM
86,10101,agalale ingaran,RENACOM_86,RENACOM
87,10101,tidras,RENACOM_87,RENACOM
88,10101,intchirikat,RENACOM_88,RENACOM
89,10101,tchizoum ii,RENACOM_89,RENACOM
90,10101,marandatte (va),RENACOM_90,RENACOM
91,10101,kououn nass(tewar),RENACOM_91,RENACOM
92,10101,agal al igaran ii,RENACOM_92,RENACOM
93,10101,tchin bagatan,RENACOM_93,RENACOM
94,10101,thoun ghoumani(pe),RENACOM_94,RENACOM
95,10101,efenetess,RENACOM_95,RENACOM
96,10101,damo ou boule,RENACOM_96,RENACOM
97,10101,hachane,RENACOM_97,RENACOM
98,10101,ekawel,RENACOM_98,RENACOM
99,10101,baki,RENACOM_99,RENACOM
100,10101,toula,RENACOM_100,RENACOM
101,10101,ekawel,RENACOM_101,RENACOM
102,10101,ori,RENACOM_102,RENACOM
103,10101,tanout (pe),RENACOM_103,RENACOM
104,10101,waney,RENACOM_104,RENACOM
105,10101,awi,RENACOM_105,RENACOM
106,10101,eneleni dale,RENACOM_106,RENACOM
107,10101,mohamed abdoulaye,RENACOM_107,RENACOM
108,10101,hamidan,RENACOM_108,RENACOM
109,10101,adam (pe),RENACOM_109,RENACOM
110,10101,talhousseinit (va),RENACOM_110,RENACOM
111,10101,hambobila (pe),RENACOM_111,RENACOM
112,10101,adakara,RENACOM_112,RENACOM
113,10101,ezak dodo,RENACOM_113,RENACOM
114,10101,ekarfane (pe),RENACOM_114,RENACOM
115,10101,kata,RENACOM_115,RENACOM
116,10101,tafrikout,RENACOM_116,RENACOM
117,10101,abargo,RENACOM_117,RENACOM
