"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"3","10101","bazo (vt)","RENACOM_3","RENACOM","27","10101","bazo (puits)","RENALOC_27","RENALOC"
"6","10101","abalamawa","RENACOM_6","RENACOM","2","10101","abalama","RENALOC_2","RENALOC"
"9","10101","ichim","RENACOM_9","RENACOM","59","10101","ichim","RENALOC_59","RENALOC"
"10","10101","inna tane","RENACOM_10","RENACOM","73","10101","innatane","RENALOC_73","RENALOC"
"12","10101","irrayen","RENACOM_12","RENACOM","78","10101","irayen","RENALOC_78","RENALOC"
"15","10101","egarao (pe)","RENACOM_15","RENACOM","40","10101","egaro","RENALOC_40","RENALOC"
"16","10101","baggo","RENACOM_16","RENACOM","25","10101","baggo","RENALOC_25","RENALOC"
"18","10101","tchintaborak","RENACOM_18","RENACOM","130","10101","tchintaborak/sud","RENALOC_130","RENALOC"
"19","10101","bori","RENACOM_19","RENACOM","29","10101","bori","RENALOC_29","RENALOC"
"24","10101","sabo","RENACOM_24","RENACOM","106","10101","sabo","RENALOC_106","RENALOC"
"26","10101","fouta","RENACOM_26","RENACOM","51","10101","fouta","RENALOC_51","RENALOC"
"36","10101","tougbala (va)","RENACOM_36","RENACOM","139","10101","tougbalana","RENALOC_139","RENALOC"
"42","10101","marandat","RENACOM_42","RENACOM","97","10101","marandat","RENALOC_97","RENALOC"
"43","10101","tadi ben mohamed","RENACOM_43","RENACOM","112","10101","tadibene","RENALOC_112","RENALOC"
"44","10101","tounkou","RENACOM_44","RENACOM","143","10101","tounkou","RENALOC_143","RENALOC"
"50","10101","tagdo fat","RENACOM_50","RENACOM","114","10101","tagdofat","RENALOC_114","RENALOC"
"53","10101","ingharane","RENACOM_53","RENACOM","69","10101","ingaran","RENALOC_69","RENALOC"
"53","10101","ingharane","RENACOM_53","RENACOM","70","10101","ingarfane","RENALOC_70","RENALOC"
"55","10101","sabo ii","RENACOM_55","RENACOM","106","10101","sabo","RENALOC_106","RENALOC"
"57","10101","akadanaye (pe)","RENACOM_57","RENACOM","12","10101","akadanay","RENALOC_12","RENALOC"
"58","10101","tassakamart (pe)","RENACOM_58","RENACOM","118","10101","tassakamat","RENALOC_118","RENALOC"
"59","10101","atambo ii (pe)","RENACOM_59","RENACOM","23","10101","attambo","RENALOC_23","RENALOC"
"60","10101","efartaye (pe)","RENACOM_60","RENACOM","38","10101","efartey","RENALOC_38","RENALOC"
"62","10101","arabe (pe)","RENACOM_62","RENACOM","20","10101","arabe","RENALOC_20","RENALOC"
