"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"2","10101","abalama","RENALOC_2","RENALOC","54","10101","abalama1","bureau_10101055","voting_lists"
"2","10101","abalama","RENALOC_2","RENALOC","84","10101","abalama2","bureau_10101085","voting_lists"
"4","10101","adakaro","RENALOC_4","RENALOC","29","10101","adakara","bureau_10101030","voting_lists"
"14","10101","akouel (akoyal)","RENALOC_14","RENALOC","53","10101","akoual","bureau_10101054","voting_lists"
"17","10101","amazegri","RENALOC_17","RENALOC","25","10101","amazegri","bureau_10101026","voting_lists"
"23","10101","attambo","RENALOC_23","RENALOC","72","10101","attambo","bureau_10101073","voting_lists"
"25","10101","baggo","RENALOC_25","RENALOC","49","10101","bago","bureau_10101050","voting_lists"
"29","10101","bori","RENALOC_29","RENALOC","82","10101","bori","bureau_10101083","voting_lists"
"30","10101","bourgoutan","RENALOC_30","RENALOC","6","10101","bourgoutan","bureau_10101007","voting_lists"
"36","10101","echia","RENALOC_36","RENALOC","88","10101","echia","bureau_10101089","voting_lists"
"37","10101","echkar","RENALOC_37","RENALOC","73","10101","echkar tagaza","bureau_10101074","voting_lists"
"38","10101","efartey","RENALOC_38","RENALOC","71","10101","effartay","bureau_10101072","voting_lists"
"43","10101","eknawane","RENALOC_43","RENALOC","48","10101","iknawane","bureau_10101049","voting_lists"
"45","10101","eguef (toudoun fedou)","RENALOC_45","RENALOC","45","10101","eguef","bureau_10101046","voting_lists"
"46","10101","eridalane","RENALOC_46","RENALOC","34","10101","eridalane","bureau_10101035","voting_lists"
"47","10101","ezawzaw","RENALOC_47","RENALOC","31","10101","ezawzaw","bureau_10101032","voting_lists"
"51","10101","fouta","RENALOC_51","RENALOC","35","10101","fouta 1","bureau_10101036","voting_lists"
"52","10101","gabdouane","RENALOC_52","RENALOC","70","10101","gabdouane","bureau_10101071","voting_lists"
"53","10101","galadima","RENALOC_53","RENALOC","65","10101","galadima","bureau_10101066","voting_lists"
"55","10101","garmaga","RENALOC_55","RENALOC","28","10101","garmaga","bureau_10101029","voting_lists"
"56","10101","guermawane","RENALOC_56","RENALOC","42","10101","guermawan","bureau_10101043","voting_lists"
"58","10101","hambobilla","RENALOC_58","RENALOC","60","10101","hambobila","bureau_10101061","voting_lists"
"65","10101","imboraghan","RENALOC_65","RENALOC","44","10101","imboragan","bureau_10101045","voting_lists"
"66","10101","imisdenine","RENALOC_66","RENALOC","17","10101","emisdenine i","bureau_10101018","voting_lists"
"66","10101","imisdenine","RENALOC_66","RENALOC","20","10101","emisdenine ii","bureau_10101021","voting_lists"
"70","10101","ingarfane","RENALOC_70","RENALOC","64","10101","inguirfane","bureau_10101065","voting_lists"
"71","10101","inkadewan","RENALOC_71","RENALOC","32","10101","inkadewan ouest","bureau_10101033","voting_lists"
"71","10101","inkadewan","RENALOC_71","RENALOC","62","10101","inkadewan est","bureau_10101063","voting_lists"
"72","10101","inkadewane/ouest","RENALOC_72","RENALOC","32","10101","inkadewan ouest","bureau_10101033","voting_lists"
"72","10101","inkadewane/ouest","RENALOC_72","RENALOC","62","10101","inkadewan est","bureau_10101063","voting_lists"
"75","10101","intarakat","RENALOC_75","RENALOC","14","10101","intarakat","bureau_10101015","voting_lists"
"77","10101","intirza","RENALOC_77","RENALOC","52","10101","intirza azara","bureau_10101053","voting_lists"
"86","10101","kirfatchi i","RENALOC_86","RENALOC","46","10101","kirfichi 1","bureau_10101047","voting_lists"
"87","10101","kirfatchi ii","RENALOC_87","RENALOC","46","10101","kirfichi 1","bureau_10101047","voting_lists"
"88","10101","karnagar","RENALOC_88","RENALOC","75","10101","karnagan","bureau_10101076","voting_lists"
"90","10101","kiriria i","RENALOC_90","RENALOC","55","10101","kiririya1","bureau_10101056","voting_lists"
"93","10101","madina","RENALOC_93","RENALOC","87","10101","madina","bureau_10101088","voting_lists"
"95","10101","mai gawiyi","RENALOC_95","RENALOC","74","10101","maigawaye","bureau_10101075","voting_lists"
"96","10101","mamma","RENALOC_96","RENALOC","38","10101","mama","bureau_10101039","voting_lists"
"97","10101","marandat","RENALOC_97","RENALOC","11","10101","marandat","bureau_10101012","voting_lists"
"108","10101","soukoumour ii(2)","RENALOC_108","RENALOC","23","10101","soukoumour","bureau_10101024","voting_lists"
"109","10101","soukoumour (1)","RENALOC_109","RENALOC","23","10101","soukoumour","bureau_10101024","voting_lists"
"110","10101","tabalbal","RENALOC_110","RENALOC","79","10101","tabalbal","bureau_10101080","voting_lists"
"112","10101","tadibene","RENALOC_112","RENALOC","16","10101","tadibene","bureau_10101017","voting_lists"
"114","10101","tagdofat","RENALOC_114","RENALOC","59","10101","tagdofat 1","bureau_10101060","voting_lists"
"124","10101","tchinabroh","RENALOC_124","RENALOC","63","10101","tchinabro","bureau_10101064","voting_lists"
"127","10101","tchinikli","RENALOC_127","RENALOC","40","10101","tchinikli","bureau_10101041","voting_lists"
"130","10101","tchintaborak/sud","RENALOC_130","RENALOC","41","10101","tchintaborak sud 1","bureau_10101042","voting_lists"
"130","10101","tchintaborak/sud","RENALOC_130","RENALOC","83","10101","tchintaborak sud2","bureau_10101084","voting_lists"
"132","10101","tchougass","RENALOC_132","RENALOC","47","10101","tchougas","bureau_10101048","voting_lists"
"133","10101","tebirguit","RENALOC_133","RENALOC","61","10101","tebirguit","bureau_10101062","voting_lists"
"135","10101","tetoukounout","RENALOC_135","RENALOC","36","10101","tetoukounout","bureau_10101037","voting_lists"
